"train/global_step","trl_math_grpo_qwen15b_grail_matched_final - _step","trl_math_grpo_qwen15b_grail_matched_final - _step__MIN","trl_math_grpo_qwen15b_grail_matched_final - _step__MAX","trl_math_grpo_qwen15b_grail_matched_final - train/pass@5","trl_math_grpo_qwen15b_grail_matched_final - train/pass@5__MIN","trl_math_grpo_qwen15b_grail_matched_final - train/pass@5__MAX"
"0","3","3","3","0.11235119047619048","0.11235119047619048","0.11235119047619048"
"1","394","394","394","0.16391941391941395","0.16391941391941395","0.16391941391941395"
"2","785","785","785","0.09660456730769232","0.09660456730769232","0.09660456730769232"
"3","1176","1176","1176","0.10541866987179488","0.10541866987179488","0.10541866987179488"
"4","1567","1567","1567","0.08519345238095238","0.08519345238095238","0.08519345238095238"
"5","1958","1958","1958","0.1290564903846154","0.1290564903846154","0.1290564903846154"
"6","2349","2349","2349","0.16061412545787548","0.16061412545787548","0.16061412545787548"
"7","2740","2740","2740","0.09495907738095238","0.09495907738095238","0.09495907738095238"
"8","3131","3131","3131","0.09920873397435898","0.09920873397435898","0.09920873397435898"
"9","3522","3522","3522","0.15314503205128208","0.15314503205128208","0.15314503205128208"
"10","3913","3913","3913","0.09756324404761905","0.09756324404761905","0.09756324404761905"
"11","4304","4304","4304","0.11235119047619048","0.11235119047619048","0.11235119047619048"
"12","4695","4695","4695","0.09975961538461539","0.09975961538461539","0.09975961538461539"
"13","5086","5086","5086","0.12494991987179488","0.12494991987179488","0.12494991987179488"
"14","5477","5477","5477","0.12425595238095238","0.12425595238095238","0.12425595238095238"
"15","5868","5868","5868","0.08168784340659341","0.08168784340659341","0.08168784340659341"
"16","6259","6259","6259","0.12630208333333334","0.12630208333333334","0.12630208333333334"
"17","6650","6650","6650","0.16011332417582422","0.16011332417582422","0.16011332417582422"
"18","7041","7041","7041","0.17226133241758246","0.17226133241758246","0.17226133241758246"
"19","7432","7432","7432","0.17324862637362637","0.17324862637362637","0.17324862637362637"
"20","7823","7823","7823","0.09385016025641024","0.09385016025641024","0.09385016025641024"
"21","8214","8214","8214","0.0841775412087912","0.0841775412087912","0.0841775412087912"
"22","8605","8605","8605","0.18138307005494506","0.18138307005494506","0.18138307005494506"
"23","8996","8996","8996","0.08179515796703296","0.08179515796703296","0.08179515796703296"
"24","9387","9387","9387","0.10873111263736263","0.10873111263736263","0.10873111263736263"
"25","9778","9778","9778","0.18707074175824176","0.18707074175824176","0.18707074175824176"
"26","10169","10169","10169","0.21880008012820515","0.21880008012820515","0.21880008012820515"
"27","10560","10560","10560","0.18595467032967034","0.18595467032967034","0.18595467032967034"
"28","10951","10951","10951","0.14267828525641024","0.14267828525641024","0.14267828525641024"
"29","11342","11342","11342","0.15700120192307696","0.15700120192307696","0.15700120192307696"
"30","11733","11733","11733","0.15790264423076922","0.15790264423076922","0.15790264423076922"
"31","12124","12124","12124","0.23984088827838823","0.23984088827838823","0.23984088827838823"
"32","12515","12515","12515","0.18875200320512825","0.18875200320512825","0.18875200320512825"
"33","12906","12906","12906","0.15392485119047616","0.15392485119047616","0.15392485119047616"
"34","13297","13297","13297","0.11439732142857144","0.11439732142857144","0.11439732142857144"
"35","13688","13688","13688","0.17493704212454214","0.17493704212454214","0.17493704212454214"
"36","14079","14079","14079","0.1868203411172161","0.1868203411172161","0.1868203411172161"
"37","14470","14470","14470","0.2587711767399268","0.2587711767399268","0.2587711767399268"
"38","14861","14861","14861","0.2193008814102564","0.2193008814102564","0.2193008814102564"
"39","15252","15252","15252","0.22596153846153844","0.22596153846153844","0.22596153846153844"
"40","15644","15644","15644","0.2089342948717949","0.2089342948717949","0.2089342948717949"
"41","16035","16035","16035","0.24378290979853479","0.24378290979853479","0.24378290979853479"
"42","16426","16426","16426","0.23212854853479853","0.23212854853479853","0.23212854853479853"
"43","16817","16817","16817","0.38313444368131866","0.38313444368131866","0.38313444368131866"
"44","17208","17208","17208","0.3293841575091575","0.3293841575091575","0.3293841575091575"
"45","17599","17599","17599","0.2976619734432234","0.2976619734432234","0.2976619734432234"
"46","17990","17990","17990","0.40247252747252743","0.40247252747252743","0.40247252747252743"
"47","18381","18381","18381","0.3927855998168498","0.3927855998168498","0.3927855998168498"
"48","18772","18772","18772","0.4344308035714286","0.4344308035714286","0.4344308035714286"
"49","19163","19163","19163","0.19971239697802198","0.19971239697802198","0.19971239697802198"
"50","19554","19554","19554","0.35991872710622713","0.35991872710622713","0.35991872710622713"
"51","19945","19945","19945","0.37030677655677646","0.37030677655677646","0.37030677655677646"
"52","20336","20336","20336","0.5116328983516484","0.5116328983516484","0.5116328983516484"
"53","20727","20727","20727","0.38613925137362637","0.38613925137362637","0.38613925137362637"
"54","21118","21118","21118","0.36894745879120877","0.36894745879120877","0.36894745879120877"
"55","21509","21509","21509","0.3807019803113554","0.3807019803113554","0.3807019803113554"
"56","21900","21900","21900","0.4123740842490842","0.4123740842490842","0.4123740842490842"
"57","22291","22291","22291","0.4881524725274725","0.4881524725274725","0.4881524725274725"
"58","22682","22682","22682","0.550452152014652","0.550452152014652","0.550452152014652"
"59","23073","23073","23073","0.31491100045787546","0.31491100045787546","0.31491100045787546"
"60","23464","23464","23464","0.30925910027472525","0.30925910027472525","0.30925910027472525"
"61","23855","23855","23855","0.4680274152930403","0.4680274152930403","0.4680274152930403"
"62","24246","24246","24246","0.407709478021978","0.407709478021978","0.407709478021978"
"63","24637","24637","24637","0.4745020604395604","0.4745020604395604","0.4745020604395604"
"64","25028","25028","25028","0.40565619276556775","0.40565619276556775","0.40565619276556775"
"65","25419","25419","25419","0.4009629693223444","0.4009629693223444","0.4009629693223444"
"66","25810","25810","25810","0.4536973443223443","0.4536973443223443","0.4536973443223443"
"67","26201","26201","26201","0.4481670673076923","0.4481670673076923","0.4481670673076923"
"68","26592","26592","26592","0.4185196314102565","0.4185196314102565","0.4185196314102565"
"69","26983","26983","26983","0.4612379807692308","0.4612379807692308","0.4612379807692308"
"70","27374","27374","27374","0.37263192536630035","0.37263192536630035","0.37263192536630035"
"71","27765","27765","27765","0.3132011217948718","0.3132011217948718","0.3132011217948718"
"72","28156","28156","28156","0.3991529304029303","0.3991529304029303","0.3991529304029303"
"73","28547","28547","28547","0.47348614926739935","0.47348614926739935","0.47348614926739935"
"74","28938","28938","28938","0.3830271291208791","0.3830271291208791","0.3830271291208791"
"75","29329","29329","29329","0.6226820054945056","0.6226820054945056","0.6226820054945056"
"76","29720","29720","29720","0.39376573946886445","0.39376573946886445","0.39376573946886445"
"77","30111","30111","30111","0.45417668269230776","0.45417668269230776","0.45417668269230776"
"78","30502","30502","30502","0.6113782051282052","0.6113782051282052","0.6113782051282052"
"79","30893","30893","30893","0.3448231456043956","0.3448231456043956","0.3448231456043956"
"80","31285","31285","31285","0.5036773122710623","0.5036773122710623","0.5036773122710623"
"81","31676","31676","31676","0.5495435554029304","0.5495435554029304","0.5495435554029304"
"82","32067","32067","32067","0.4005480196886447","0.4005480196886447","0.4005480196886447"
"83","32458","32458","32458","0.646484375","0.646484375","0.646484375"
"84","32849","32849","32849","0.5426682692307692","0.5426682692307692","0.5426682692307692"
"85","33240","33240","33240","0.4043612637362638","0.4043612637362638","0.4043612637362638"
"86","33631","33631","33631","0.5962182348901098","0.5962182348901098","0.5962182348901098"
"87","34022","34022","34022","0.4219823145604395","0.4219823145604395","0.4219823145604395"
"88","34413","34413","34413","0.420322516025641","0.420322516025641","0.420322516025641"
"89","34804","34804","34804","0.410907451923077","0.410907451923077","0.410907451923077"
"90","35195","35195","35195","0.44390310210622713","0.44390310210622713","0.44390310210622713"
"91","35586","35586","35586","0.6246422847985348","0.6246422847985348","0.6246422847985348"
"92","35977","35977","35977","0.42909369276556775","0.42909369276556775","0.42909369276556775"
"93","36368","36368","36368","0.606177026098901","0.606177026098901","0.606177026098901"
"94","36759","36759","36759","0.4843821543040293","0.4843821543040293","0.4843821543040293"
"95","37150","37150","37150","0.543154761904762","0.543154761904762","0.543154761904762"
"96","37541","37541","37541","0.5659626831501833","0.5659626831501833","0.5659626831501833"
"97","37932","37932","37932","0.5068037431318682","0.5068037431318682","0.5068037431318682"
"98","38323","38323","38323","0.486564217032967","0.486564217032967","0.486564217032967"
"99","38714","38714","38714","0.4504707532051282","0.4504707532051282","0.4504707532051282"
"100","39105","39105","39105","0.350997309981685","0.350997309981685","0.350997309981685"
"101","39496","39496","39496","0.5311999198717948","0.5311999198717948","0.5311999198717948"
"102","39887","39887","39887","0.3847441620879121","0.3847441620879121","0.3847441620879121"
"103","40278","40278","40278","0.44481885302197804","0.44481885302197804","0.44481885302197804"
"104","40669","40669","40669","0.6308951465201466","0.6308951465201466","0.6308951465201466"
"105","41060","41060","41060","0.4480382898351648","0.4480382898351648","0.4480382898351648"
"106","41451","41451","41451","0.4174178685897436","0.4174178685897436","0.4174178685897436"
"107","41842","41842","41842","0.452137706043956","0.452137706043956","0.452137706043956"
"108","42233","42233","42233","0.5102378090659341","0.5102378090659341","0.5102378090659341"
"109","42624","42624","42624","0.5122624771062272","0.5122624771062272","0.5122624771062272"
"110","43015","43015","43015","0.4951923076923077","0.4951923076923077","0.4951923076923077"
"111","43406","43406","43406","0.4753748855311356","0.4753748855311356","0.4753748855311356"
"112","43797","43797","43797","0.4883313301282052","0.4883313301282052","0.4883313301282052"
"113","44188","44188","44188","0.4299021291208791","0.4299021291208791","0.4299021291208791"
"114","44579","44579","44579","0.40955528846153844","0.40955528846153844","0.40955528846153844"
"115","44970","44970","44970","0.497481684981685","0.497481684981685","0.497481684981685"
"116","45361","45361","45361","0.4871723328754579","0.4871723328754579","0.4871723328754579"
"117","45752","45752","45752","0.44627833104395603","0.44627833104395603","0.44627833104395603"
"118","46143","46143","46143","0.6022779304029304","0.6022779304029304","0.6022779304029304"
"119","46534","46534","46534","0.4579255380036629","0.4579255380036629","0.4579255380036629"
"120","46926","46926","46926","0.5322516025641026","0.5322516025641026","0.5322516025641026"
"121","47317","47317","47317","0.44652157738095244","0.44652157738095244","0.44652157738095244"
"122","47708","47708","47708","0.6840015453296702","0.6840015453296702","0.6840015453296702"
"123","48099","48099","48099","0.493739983974359","0.493739983974359","0.493739983974359"
"124","48490","48490","48490","0.4921302655677657","0.4921302655677657","0.4921302655677657"
"125","48881","48881","48881","0.5351347870879122","0.5351347870879122","0.5351347870879122"
"126","49272","49272","49272","0.48149181547619047","0.48149181547619047","0.48149181547619047"
"127","49663","49663","49663","0.5157823946886446","0.5157823946886446","0.5157823946886446"
"128","50054","50054","50054","0.36274467719780223","0.36274467719780223","0.36274467719780223"
"129","50445","50445","50445","0.41617301968864473","0.41617301968864473","0.41617301968864473"
"130","50836","50836","50836","0.46050824175824173","0.46050824175824173","0.46050824175824173"
"131","51227","51227","51227","0.4842319139194139","0.4842319139194139","0.4842319139194139"
"132","51618","51618","51618","0.56167725503663","0.56167725503663","0.56167725503663"
"133","52009","52009","52009","0.4624327495421246","0.4624327495421246","0.4624327495421246"
"134","52400","52400","52400","0.48512620192307687","0.48512620192307687","0.48512620192307687"
"135","52791","52791","52791","0.5134715544871795","0.5134715544871795","0.5134715544871795"
"136","53182","53182","53182","0.6729266826923077","0.6729266826923077","0.6729266826923077"
"137","53573","53573","53573","0.562643086080586","0.562643086080586","0.562643086080586"
"138","53964","53964","53964","0.5426324977106227","0.5426324977106227","0.5426324977106227"
"139","54355","54355","54355","0.4418211996336996","0.4418211996336996","0.4418211996336996"
"140","54746","54746","54746","0.5319511217948718","0.5319511217948718","0.5319511217948718"
"141","55137","55137","55137","0.48277959020146516","0.48277959020146516","0.48277959020146516"
"142","55528","55528","55528","0.5722083905677656","0.5722083905677656","0.5722083905677656"
"143","55919","55919","55919","0.4851476648351649","0.4851476648351649","0.4851476648351649"
"144","56310","56310","56310","0.5777172046703296","0.5777172046703296","0.5777172046703296"
"145","56701","56701","56701","0.6434509500915753","0.6434509500915753","0.6434509500915753"
"146","57092","57092","57092","0.6983173076923077","0.6983173076923077","0.6983173076923077"
"147","57483","57483","57483","0.412767570970696","0.412767570970696","0.412767570970696"
"148","57874","57874","57874","0.567135989010989","0.567135989010989","0.567135989010989"
"149","58265","58265","58265","0.6675037202380952","0.6675037202380952","0.6675037202380952"
"150","58656","58656","58656","0.42968750000000006","0.42968750000000006","0.42968750000000006"
"151","59047","59047","59047","0.6057763850732601","0.6057763850732601","0.6057763850732601"
"152","59438","59438","59438","0.49270976419413925","0.49270976419413925","0.49270976419413925"
"153","59829","59829","59829","0.5297976762820512","0.5297976762820512","0.5297976762820512"
"154","60220","60220","60220","0.6198703640109888","0.6198703640109888","0.6198703640109888"
"155","60611","60611","60611","0.6092319139194139","0.6092319139194139","0.6092319139194139"
"156","61002","61002","61002","0.4924307463369963","0.4924307463369963","0.4924307463369963"
"157","61393","61393","61393","0.6372338598901098","0.6372338598901098","0.6372338598901098"
"158","61784","61784","61784","0.5584435096153847","0.5584435096153847","0.5584435096153847"
"159","62175","62175","62175","0.6452896062271062","0.6452896062271062","0.6452896062271062"
"160","62567","62567","62567","0.7394903273809524","0.7394903273809524","0.7394903273809524"
"161","62958","62958","62958","0.5822530334249084","0.5822530334249084","0.5822530334249084"
"162","63349","63349","63349","0.4764337225274726","0.4764337225274726","0.4764337225274726"
"163","63740","63740","63740","0.6559065934065935","0.6559065934065935","0.6559065934065935"
"164","64131","64131","64131","0.7693810096153847","0.7693810096153847","0.7693810096153847"
"165","64522","64522","64522","0.5145947802197801","0.5145947802197801","0.5145947802197801"
