"eval_step","trl_math_grpo_qwen15b_grail_matched_final - _step","trl_math_grpo_qwen15b_grail_matched_final - _step__MIN","trl_math_grpo_qwen15b_grail_matched_final - _step__MAX","trl_math_grpo_qwen15b_grail_matched_final - eval/pass@5","trl_math_grpo_qwen15b_grail_matched_final - eval/pass@5__MIN","trl_math_grpo_qwen15b_grail_matched_final - eval/pass@5__MAX"
"0","0","0","0","0.094","0.094","0.094"
"40","15639","15639","15639","0.228","0.228","0.228"
"80","31280","31280","31280","0.5","0.5","0.5"
"120","46921","46921","46921","0.536","0.536","0.536"
"160","62562","62562","62562","0.584","0.584","0.584"
"200","78203","78203","78203","0.622","0.622","0.622"
"240","93844","93844","93844","0.614","0.614","0.614"
"280","109485","109485","109485","0.614","0.614","0.614"
"320","125128.5","125126","125131","0.614","0.608","0.62"
