"train/global_step","trl_math_grpo_qwen15b_grail_matched_final - _step","trl_math_grpo_qwen15b_grail_matched_final - _step__MIN","trl_math_grpo_qwen15b_grail_matched_final - _step__MAX","trl_math_grpo_qwen15b_grail_matched_final - train/pass@1","trl_math_grpo_qwen15b_grail_matched_final - train/pass@1__MIN","trl_math_grpo_qwen15b_grail_matched_final - train/pass@1__MAX"
"98","38323","38323","38323","0.306640625","0.306640625","0.306640625"
"99","38714","38714","38714","0.27734375","0.27734375","0.27734375"
"100","39105","39105","39105","0.1875","0.1875","0.1875"
"101","39496","39496","39496","0.296875","0.296875","0.296875"
"102","39887","39887","39887","0.2109375","0.2109375","0.2109375"
"103","40278","40278","40278","0.232421875","0.232421875","0.232421875"
"104","40669","40669","40669","0.294921875","0.294921875","0.294921875"
"105","41060","41060","41060","0.26953125","0.26953125","0.26953125"
"106","41451","41451","41451","0.251953125","0.251953125","0.251953125"
"107","41842","41842","41842","0.291015625","0.291015625","0.291015625"
"108","42233","42233","42233","0.26953125","0.26953125","0.26953125"
"109","42624","42624","42624","0.287109375","0.287109375","0.287109375"
"110","43015","43015","43015","0.275390625","0.275390625","0.275390625"
"111","43406","43406","43406","0.337890625","0.337890625","0.337890625"
"112","43797","43797","43797","0.27734375","0.27734375","0.27734375"
"113","44188","44188","44188","0.25","0.25","0.25"
"114","44579","44579","44579","0.22265625","0.22265625","0.22265625"
"115","44970","44970","44970","0.32421875","0.32421875","0.32421875"
"116","45361","45361","45361","0.30859375","0.30859375","0.30859375"
"117","45752","45752","45752","0.26171875","0.26171875","0.26171875"
"118","46143","46143","46143","0.3515625","0.3515625","0.3515625"
"119","46534","46534","46534","0.25","0.25","0.25"
"120","46926","46926","46926","0.357421875","0.357421875","0.357421875"
"121","47317","47317","47317","0.216796875","0.216796875","0.216796875"
"122","47708","47708","47708","0.4296875","0.4296875","0.4296875"
"123","48099","48099","48099","0.287109375","0.287109375","0.287109375"
"124","48490","48490","48490","0.31640625","0.31640625","0.31640625"
"125","48881","48881","48881","0.296875","0.296875","0.296875"
"126","49272","49272","49272","0.27734375","0.27734375","0.27734375"
"127","49663","49663","49663","0.2578125","0.2578125","0.2578125"
"128","50054","50054","50054","0.193359375","0.193359375","0.193359375"
"129","50445","50445","50445","0.220703125","0.220703125","0.220703125"
"130","50836","50836","50836","0.2578125","0.2578125","0.2578125"
"131","51227","51227","51227","0.267578125","0.267578125","0.267578125"
"132","51618","51618","51618","0.349609375","0.349609375","0.349609375"
"133","52009","52009","52009","0.244140625","0.244140625","0.244140625"
"134","52400","52400","52400","0.25390625","0.25390625","0.25390625"
"135","52791","52791","52791","0.341796875","0.341796875","0.341796875"
"136","53182","53182","53182","0.359375","0.359375","0.359375"
"137","53573","53573","53573","0.279296875","0.279296875","0.279296875"
"138","53964","53964","53964","0.294921875","0.294921875","0.294921875"
"139","54355","54355","54355","0.287109375","0.287109375","0.287109375"
"140","54746","54746","54746","0.337890625","0.337890625","0.337890625"
"141","55137","55137","55137","0.220703125","0.220703125","0.220703125"
"142","55528","55528","55528","0.337890625","0.337890625","0.337890625"
"143","55919","55919","55919","0.29296875","0.29296875","0.29296875"
"144","56310","56310","56310","0.353515625","0.353515625","0.353515625"
"145","56701","56701","56701","0.412109375","0.412109375","0.412109375"
"146","57092","57092","57092","0.44921875","0.44921875","0.44921875"
"147","57483","57483","57483","0.279296875","0.279296875","0.279296875"
"148","57874","57874","57874","0.34375","0.34375","0.34375"
"149","58265","58265","58265","0.4375","0.4375","0.4375"
"150","58656","58656","58656","0.271484375","0.271484375","0.271484375"
"151","59047","59047","59047","0.341796875","0.341796875","0.341796875"
"152","59438","59438","59438","0.296875","0.296875","0.296875"
"153","59829","59829","59829","0.34375","0.34375","0.34375"
"154","60220","60220","60220","0.40625","0.40625","0.40625"
"155","60611","60611","60611","0.337890625","0.337890625","0.337890625"
"156","61002","61002","61002","0.251953125","0.251953125","0.251953125"
"157","61393","61393","61393","0.41015625","0.41015625","0.41015625"
"158","61784","61784","61784","0.33203125","0.33203125","0.33203125"
"159","62175","62175","62175","0.380859375","0.380859375","0.380859375"
"160","62567","62567","62567","0.44921875","0.44921875","0.44921875"
"161","62958","62958","62958","0.34765625","0.34765625","0.34765625"
"162","63349","63349","63349","0.2578125","0.2578125","0.2578125"
"163","63740","63740","63740","0.423828125","0.423828125","0.423828125"
"164","64131","64131","64131","0.58203125","0.58203125","0.58203125"
"165","64522","64522","64522","0.330078125","0.330078125","0.330078125"
"166","64913","64913","64913","0.400390625","0.400390625","0.400390625"
"167","65304","65304","65304","0.365234375","0.365234375","0.365234375"
"168","65695","65695","65695","0.455078125","0.455078125","0.455078125"
"169","66086","66086","66086","0.53515625","0.53515625","0.53515625"
"170","66477","66477","66477","0.37109375","0.37109375","0.37109375"
"171","66868","66868","66868","0.375","0.375","0.375"
"172","67259","67259","67259","0.556640625","0.556640625","0.556640625"
"173","67650","67650","67650","0.341796875","0.341796875","0.341796875"
"174","68041","68041","68041","0.49609375","0.49609375","0.49609375"
"175","68432","68432","68432","0.302734375","0.302734375","0.302734375"
"176","68823","68823","68823","0.30078125","0.30078125","0.30078125"
"177","69214","69214","69214","0.3671875","0.3671875","0.3671875"
"178","69605","69605","69605","0.3046875","0.3046875","0.3046875"
"179","69996","69996","69996","0.380859375","0.380859375","0.380859375"
"180","70387","70387","70387","0.279296875","0.279296875","0.279296875"
"181","70778","70778","70778","0.341796875","0.341796875","0.341796875"
"182","71169","71169","71169","0.3671875","0.3671875","0.3671875"
"183","71560","71560","71560","0.33203125","0.33203125","0.33203125"
"184","71951","71951","71951","0.333984375","0.333984375","0.333984375"
"185","72342","72342","72342","0.173828125","0.173828125","0.173828125"
"186","72733","72733","72733","0.453125","0.453125","0.453125"
"187","73124","73124","73124","0.3125","0.3125","0.3125"
"188","73515","73515","73515","0.369140625","0.369140625","0.369140625"
"189","73906","73906","73906","0.31640625","0.31640625","0.31640625"
"190","74297","74297","74297","0.294921875","0.294921875","0.294921875"
"191","74688","74688","74688","0.396484375","0.396484375","0.396484375"
"192","75079","75079","75079","0.36328125","0.36328125","0.36328125"
"193","75470","75470","75470","0.396484375","0.396484375","0.396484375"
"194","75861","75861","75861","0.228515625","0.228515625","0.228515625"
"195","76252","76252","76252","0.26953125","0.26953125","0.26953125"
"196","76643","76643","76643","0.447265625","0.447265625","0.447265625"
"197","77034","77034","77034","0.328125","0.328125","0.328125"
"198","77425","77425","77425","0.462890625","0.462890625","0.462890625"
"199","77816","77816","77816","0.376953125","0.376953125","0.376953125"
"200","78208","78208","78208","0.416015625","0.416015625","0.416015625"
"201","78599","78599","78599","0.400390625","0.400390625","0.400390625"
"202","78990","78990","78990","0.28125","0.28125","0.28125"
"203","79381","79381","79381","0.375","0.375","0.375"
"204","79772","79772","79772","0.2421875","0.2421875","0.2421875"
"205","80163","80163","80163","0.296875","0.296875","0.296875"
"206","80554","80554","80554","0.39453125","0.39453125","0.39453125"
"207","80945","80945","80945","0.326171875","0.326171875","0.326171875"
"208","81336","81336","81336","0.384765625","0.384765625","0.384765625"
"209","81727","81727","81727","0.220703125","0.220703125","0.220703125"
"210","82118","82118","82118","0.314453125","0.314453125","0.314453125"
"211","82509","82509","82509","0.34375","0.34375","0.34375"
"212","82900","82900","82900","0.419921875","0.419921875","0.419921875"
"213","83291","83291","83291","0.2734375","0.2734375","0.2734375"
"214","83682","83682","83682","0.427734375","0.427734375","0.427734375"
"215","84073","84073","84073","0.328125","0.328125","0.328125"
"216","84464","84464","84464","0.390625","0.390625","0.390625"
"217","84855","84855","84855","0.33984375","0.33984375","0.33984375"
"218","85246","85246","85246","0.36328125","0.36328125","0.36328125"
"219","85637","85637","85637","0.26171875","0.26171875","0.26171875"
"220","86028","86028","86028","0.341796875","0.341796875","0.341796875"
"221","86419","86419","86419","0.390625","0.390625","0.390625"
"222","86810","86810","86810","0.25390625","0.25390625","0.25390625"
"223","87201","87201","87201","0.3828125","0.3828125","0.3828125"
"224","87592","87592","87592","0.39453125","0.39453125","0.39453125"
"225","87983","87983","87983","0.33984375","0.33984375","0.33984375"
