model_family,model_size,experiment_type,seed,step,k,sparsity,learning_rate,iteration_num
Qwen,1.5B,SFT,42,78,1,98.23950449059258,3e-06,1
Qwen,1.5B,SFT,42,79,1,98.24694492174635,3e-06,1
Qwen,1.5B,SFT,42,80,1,98.26062996692943,3e-06,1
Qwen,1.5B,SFT,42,81,1,98.25826579890264,3e-06,1
Qwen,1.5B,SFT,42,82,1,98.27269767916849,3e-06,1
Qwen,1.5B,SFT,42,83,1,98.266720148238,3e-06,1
Qwen,1.5B,SFT,42,84,1,98.26461723321572,3e-06,1
Qwen,1.5B,SFT,42,85,1,98.2611290877823,3e-06,1
Qwen,1.5B,SFT,42,86,1,98.27164016483714,3e-06,1
Qwen,1.5B,SFT,42,87,1,98.29121043112391,3e-06,1
Qwen,1.5B,SFT,42,88,1,98.29183036448693,3e-06,1
Qwen,1.5B,SFT,42,89,1,98.31095391599092,3e-06,1
Qwen,1.5B,SFT,42,90,1,98.31582793962373,3e-06,1
Qwen,1.5B,SFT,42,91,1,98.34409716009212,3e-06,1
Qwen,1.5B,SFT,42,92,1,98.38410799619047,3e-06,1
Qwen,1.5B,SFT,42,93,1,98.39199423522346,3e-06,1
Qwen,1.5B,SFT,42,94,1,98.40624039459571,3e-06,1
Qwen,1.5B,SFT,42,95,1,98.42708291702141,3e-06,1
Qwen,1.5B,SFT,42,96,1,98.45073606314139,3e-06,1
Qwen,1.5B,SFT,42,97,1,98.48255607016776,3e-06,1
Qwen,1.5B,SFT,42,98,1,98.49859155026654,3e-06,1
Qwen,1.5B,SFT,1337,0,1,99.84038095691572,3e-06,1
Qwen,1.5B,SFT,1337,1,1,99.68544438647632,3e-06,1
Qwen,1.5B,SFT,1337,2,1,99.67687103843795,3e-06,1
Qwen,1.5B,SFT,1337,3,1,99.37669023503459,3e-06,1
Qwen,1.5B,SFT,1337,4,1,99.36431585983414,3e-06,1
Qwen,1.5B,SFT,1337,5,1,99.35830283010709,3e-06,1
Qwen,1.5B,SFT,1337,6,1,98.80969594228752,3e-06,1
Qwen,1.5B,SFT,1337,7,1,98.77030465087924,3e-06,1
Qwen,1.5B,SFT,1337,8,1,98.75834505450045,3e-06,1
Qwen,1.5B,SFT,1337,9,1,98.7496681251196,3e-06,1
Qwen,1.5B,SFT,1337,10,1,98.74499057566548,3e-06,1
Qwen,1.5B,SFT,1337,11,1,98.73796285041095,3e-06,1
Qwen,1.5B,SFT,1337,12,1,98.14187483230057,3e-06,1
Qwen,1.5B,SFT,1337,13,1,97.83742270745974,3e-06,1
Qwen,1.5B,SFT,1337,14,1,97.74887776125705,3e-06,1
Qwen,1.5B,SFT,1337,15,1,97.71620299762411,3e-06,1
Qwen,1.5B,SFT,1337,16,1,97.70014231856207,3e-06,1
Qwen,1.5B,SFT,1337,17,1,97.69285061959236,3e-06,1
Qwen,1.5B,SFT,1337,18,1,97.690877521337,3e-06,1
Qwen,1.5B,SFT,1337,19,1,97.69125440454557,3e-06,1
Qwen,1.5B,SFT,1337,20,1,97.72355856851605,3e-06,1
Qwen,1.5B,SFT,1337,21,1,97.75594247522112,3e-06,1
Qwen,1.5B,SFT,1337,22,1,97.79011835858456,3e-06,1
Qwen,1.5B,SFT,1337,23,1,97.82478928173487,3e-06,1
Qwen,1.5B,SFT,1337,24,1,97.85947750083166,3e-06,1
Qwen,1.5B,SFT,1337,25,1,97.89219437070138,3e-06,1
Qwen,1.5B,SFT,1337,26,1,97.92376186986475,3e-06,1
Qwen,1.5B,SFT,1337,27,1,97.95229292634707,3e-06,1
Qwen,1.5B,SFT,1337,28,1,97.97625545613911,3e-06,1
Qwen,1.5B,SFT,1337,29,1,97.99473666080638,3e-06,1
Qwen,1.5B,SFT,1337,30,1,98.0093953965202,3e-06,1
Qwen,1.5B,SFT,1337,31,1,98.02262012336708,3e-06,1
Qwen,1.5B,SFT,1337,32,1,98.03423088576886,3e-06,1
Qwen,1.5B,SFT,1337,33,1,98.04588582732987,3e-06,1
Qwen,1.5B,SFT,1337,34,1,98.05677521272744,3e-06,1
Qwen,1.5B,SFT,1337,35,1,98.06689632125091,3e-06,1
Qwen,1.5B,SFT,1337,36,1,98.07665492746513,3e-06,1
Qwen,1.5B,SFT,1337,37,1,98.08426494958486,3e-06,1
Qwen,1.5B,SFT,1337,38,1,98.0901620252137,3e-06,1
Qwen,1.5B,SFT,1337,39,1,98.09462470330261,3e-06,1
Qwen,1.5B,SFT,1337,40,1,98.10023921369326,3e-06,1
Qwen,1.5B,SFT,1337,41,1,98.10074487720753,3e-06,1
Qwen,1.5B,SFT,1337,42,1,98.10224826419694,3e-06,1
Qwen,1.5B,SFT,1337,43,1,98.10182091828308,3e-06,1
Qwen,1.5B,SFT,1337,44,1,98.09794526591365,3e-06,1
