model,experiment,file_name,file_path,step,sample_idx,original_size_bytes,num_layers,total_nnz,total_params,sparsity_pct,method,compressed_size_bytes,compression_ratio,space_savings_pct,preprocess_time,compress_time,decompress_time,total_time,compress_speed_mb_s,decompress_speed_mb_s,is_lossless,original_hash,decompressed_hash,indices_orig_bytes,indices_comp_bytes,values_orig_bytes,values_comp_bytes,metadata_orig_bytes,metadata_comp_bytes,error_msg
gemma3-4b,gemma3-4b-iter1,delta_000000.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000000.pt,0,0,93086143,256,9293856,3879936256,99.7604636935561,combined+zstd-9,7742585,12.02261815659757,91.68234417017365,1.1357666160911322,1.4570343988016248,0.11704614758491516,2.592801014892757,60.92777484555874,758.4518211333301,True,43a551a8fdec68d1,913c5208c668c62e,74350576,2426933,18587712,5311112,36424,4540,
gemma3-4b,gemma3-4b-iter1,delta_000016.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000016.pt,16,1,624573023,264,62441945,3879949824,98.39065070857988,zstd-1,166859980,3.743096595121251,73.28415191573202,0,1.9132986553013325,0.8315553851425648,1.9132986553013325,311.3153553445114,716.2953441197324,True,1a7e64e86b33dd3f,1a7e64e86b33dd3f,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000016.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000016.pt,16,1,624573023,264,62441945,3879949824,98.39065070857988,zstd-3,150024485,4.163140590017689,75.97967259626581,0,3.4957433408126235,0.9089089361950755,3.4957433408126235,170.38986924504798,655.3343542300374,True,1a7e64e86b33dd3f,1a7e64e86b33dd3f,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000016.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000016.pt,16,1,624573023,264,62441945,3879949824,98.39065070857988,zstd-9,141957088,4.399731156784506,77.27133853490179,0,15.266574167646468,1.0027219969779253,15.266574167646468,39.01590783986184,594.0223237851467,True,1a7e64e86b33dd3f,1a7e64e86b33dd3f,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000016.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000016.pt,16,1,624573023,264,62441945,3879949824,98.39065070857988,brotli-6,137591093,4.539341968887477,77.97037529108906,0,22.633902449160814,2.613219170831144,22.633902449160814,26.316241845311755,227.93313986207474,True,1a7e64e86b33dd3f,1a7e64e86b33dd3f,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000016.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000016.pt,16,1,624573023,264,62441945,3879949824,98.39065070857988,gzip-6,166135275,3.7594244991017107,73.40018398457148,0,43.4164418047294,2.5665404545143247,43.4164418047294,13.719209267177357,232.07865268892672,True,1a7e64e86b33dd3f,1a7e64e86b33dd3f,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000016.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000016.pt,16,1,624573023,264,62441945,3879949824,98.39065070857988,downcast+zstd-3,150779832,4.142284911154431,75.85873445577876,0.6968652503564954,2.6434468012303114,0.6076746936887503,3.3403120515868068,225.32674025370514,980.1942666718902,True,1a7e64e86b33dd3f,132c62aef74f34f7,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000016.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000016.pt,16,1,624573023,264,62441945,3879949824,98.39065070857988,downcast+zstd-9,134040162,4.659596151487791,78.53891265489383,0.5124247139319777,8.473710231482983,0.6850609555840492,8.98613494541496,70.29261498018765,869.4689806799709,True,1a7e64e86b33dd3f,132c62aef74f34f7,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000016.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000016.pt,16,1,624573023,264,62441945,3879949824,98.39065070857988,separate+zstd-3,149763591,4.170392942834818,76.0214441730699,0.8821072252467275,3.2209354443475604,0.8751345640048385,4.103042669594288,184.92741038961245,680.6259005809499,True,1a7e64e86b33dd3f,45300e5ebb3fb363,499535256,106384520,124883890,43373749,38624,5322,
gemma3-4b,gemma3-4b-iter1,delta_000016.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000016.pt,16,1,624573023,264,62441945,3879949824,98.39065070857988,separate+zstd-9,141769269,4.40556001597215,77.30141011870121,0.8557589212432504,13.516007484868169,0.9394459798932076,14.37176640611142,44.069171419308354,634.032465414371,True,1a7e64e86b33dd3f,45300e5ebb3fb363,499535256,100034990,124883890,41729261,38624,5018,
