"eval_step","trl_math_grpo_qwen15b_grail_matched_final - _step","trl_math_grpo_qwen15b_grail_matched_final - _step__MIN","trl_math_grpo_qwen15b_grail_matched_final - _step__MAX","trl_math_grpo_qwen15b_grail_matched_final - eval/pass@1","trl_math_grpo_qwen15b_grail_matched_final - eval/pass@1__MIN","trl_math_grpo_qwen15b_grail_matched_final - eval/pass@1__MAX"
"0","0","0","0","0.023999999999999994","0.023999999999999994","0.023999999999999994"
"40","15639","15639","15639","0.07759999999999997","0.07759999999999997","0.07759999999999997"
"80","31280","31280","31280","0.2936","0.2936","0.2936"
"120","46921","46921","46921","0.3392000000000001","0.3392000000000001","0.3392000000000001"
"160","62562","62562","62562","0.3748","0.3748","0.3748"
"200","78203","78203","78203","0.39880000000000004","0.39880000000000004","0.39880000000000004"
"240","93844","93844","93844","0.3896","0.3896","0.3896"
"280","109485","109485","109485","0.3927999999999999","0.3927999999999999","0.3927999999999999"
"320","125128.5","125126","125131","0.3876000000000001","0.3760000000000004","0.39919999999999983"
